32.9,50.6,1.7,0.367,0.0003
32.9,53.6,352.8,0.359,0.001
32.9,56.9,345.6,0.348,0.0013
32.9,60.2,339.6,0.341,0.0018
32.9,63.3,334.8,0.334,0.0032
32.1,60.4,88.9,0.22,0.0069
32.1,56.6,84.3,0.229,0.0061
32.1,52.6,78.3,0.235,0.0051
32.1,48.4,70.6,0.244,0.0043
32.1,44.5,60.7,0.253,0.0028
32.1,41.5,48.2,0.258,0.0017
32.1,40,33.8,0.282,0.0001
32.1,40.5,18.8,0.305,0.0006
32.1,42.9,5.2,0.317,0.0017
32.1,46.5,353.9,0.298,0.0008
32.1,50.6,345.1,0.291,0.0001
32.1,54.8,338.4,0.283,0.0011
32.1,58.7,333.1,0.269,0.002
32.1,62.4,328.9,0.268,0.0025
48.1,58.8,44.4,0.291,0.0048
48.1,53.8,46.2,0.288,0.0052
48.1,48,48.7,0.275,0.0044
48.1,41.1,52.4,0.257,0.0035
48.1,33.1,58.4,0.241,0.0041
48.1,24.4,69.7,0.224,0.0045
48.1,16.7,94.3,0.207,0.0057
48.1,15,138.9,0.197,0.0066
48.1,21,172.4,0.192,0.009
48.1,29.7,187.6,0.186,0.0118
48.1,38,195.2,0.188,0.0131
48.1,45.3,199.6,0.186,0.0127
48.1,51.6,202.5,0.192,0.0138
48.1,56.8,204.5,0.195,0.0151
34,62.7,86.9,0.224,0.0072
34,59.5,82.2,0.226,0.006
34,56.1,76.3,0.23,0.0056
34,52.7,69,0.236,0.0044
34,49.6,60,0.248,0.0035
34,47.2,49.4,0.257,0.0025
34,45.9,37.4,0.268,0.0013
34,46.1,24.9,0.286,0.0007
34,47.6,13.1,0.298,0.0006
34,50.2,2.8,0.3,0.0002
34,53.4,354.1,0.293,0
34,56.9,347.1,0.288,0.001
34,60.3,341.4,0.281,0.0015
34,63.5,336.8,0.279,0.0017
22.1,63.9,166.8,0.273,0.0056
22.1,60.9,171.4,0.275,0.0059
22.1,57.8,177,0.274,0.0064
22.1,54.7,183.9,0.273,0.006
22.1,51.9,192.2,0.279,0.0054
22.1,49.7,201.9,0.269,0.0055
22.1,48.5,212.7,0.269,0.0052
22.1,48.4,224.1,0.274,0.0052
22.1,49.6,235.1,0.274,0.0051
22.1,51.7,244.9,0.291,0.0051
22.1,54.5,253.4,0.291,0.0047
22.1,57.6,260.4,0.287,0.0044
22.1,60.8,266.2,0.288,0.0036
22.1,63.8,270.9,0.293,0.004
41.6,55.2,44.8,0.218,0.0054
41.6,49.5,45.9,0.218,0.0036
41.6,42.7,47.6,0.215,0.0029
41.6,34.6,50.3,0.2,0.0027
41.6,25.1,55.4,0.188,0.0029
41.6,14.6,68.4,0.167,0.0035
41.6,7.1,124.5,0.162,0.0042
41.6,13.5,188.7,0.148,0.0069
41.6,24,203.6,0.144,0.0084
41.6,33.6,209.1,0.14,0.0103
41.6,41.9,211.9,0.145,0.0122
41.6,48.9,213.7,0.15,0.0131
41.6,54.7,214.9,0.148,0.0144
39.7,56.3,39.3,0.227,0.003
39.7,50.8,38.7,0.232,0.0021
39.7,44.2,37.8,0.23,0.0016
39.7,36.3,36.3,0.225,0.0013
39.7,27,33.4,0.217,0.0012
39.7,16.3,26.2,0.204,0.0011
