71.1,52.4,53.1,0.0091
71.1,47.2,59,0.0088
71.1,41.7,67.4,0.0085
71.1,36.3,79.4,0.0097
71.1,32.3,96.1,0.0097
71.1,31,116.4,0.011
71.1,33.1,136.2,0.0114
71.1,37.5,151.7,0.0116
71.1,42.9,162.7,0.0123
71.1,48.4,170.4,0.0137
71.1,53.5,175.9,0.0128
71.8,57.7,5.5,0.002
71.8,52.9,1.9,0.0004
71.8,47.4,357.1,0.0009
71.8,41.4,350,0.0017
71.8,35.2,339.4,0.0027
71.8,29.8,323.4,0.0043
71.8,27,301.1,0.0069
71.8,28.2,277.3,0.0072
71.8,32.8,258.6,0.0094
71.8,38.8,246,0.0107
71.8,44.9,237.8,0.0106
71.8,50.6,232.1,0.0121
71.8,55.6,228.1,0.0126
71.8,60,225.1,0.0131
74.6,61.9,46.7,0.0084
74.6,57.9,50.1,0.0085
74.6,53.4,54.6,0.0093
74.6,48.5,60.6,0.0123
74.6,43.3,68.9,0.0147
74.6,38.4,80.5,0.0154
74.6,34.6,96,0.0175
74.6,33.3,114.6,0.0203
74.6,34.9,133,0.0222
74.6,38.7,148.2,0.0232
74.2,55.7,21.4,0.0021
74.2,50.2,20.7,0.0023
74.2,43.5,19.8,0.0029
74.2,35.5,18.3,0.0039
74.2,26.1,15.4,0.0053
74.2,15.4,8.1,0.0078
74.2,5.3,326,0.008
74.2,10.5,230,0.0122
74.2,21.4,216.5,0.0144
74.2,31.4,212.4,0.0167
74.2,40,210.4,0.0191
74.3,62.2,356.2,-0.0049
74.3,58.6,352,-0.0034
74.3,54.6,346.6,0.0003
74.3,50.5,339.7,0.002
74.3,46.5,330.8,0.0043
74.3,43,319.5,0.0062
74.3,40.9,305.9,0.0099
74.3,40.5,291.1,0.012
74.3,42.1,277,0.0136
74.3,45.2,264.9,0.0159
74.3,49.1,255.2,0.0179
74.3,53.2,247.7,0.0189
74.3,57.2,241.9,0.0195
74.6,57.7,22.1,0.0009
74.6,52.5,21.6,0.001
74.6,46.3,20.9,0.0032
74.6,38.9,19.8,0.0027
74.6,30,18,0.0053
